id,url,caption,related_mission_ids
1,static/images/inflight-images/luna-14/Luna-14-pad.png,"The Luna 14 vehicle on the launch pad, awaiting launch.",[1]
2,static/images/inflight-images/luna-14/Luna-14-ascent.png,"The Luna 14 vehicle on the launch pad, awaiting launch.",[1]
3,static/images/inflight-images/luna-15/Luna-15-pad.png,The Luna 15 launch vehicle awaits its launch window in the night.,[2]
4,static/images/inflight-images/luna-15/Luna-15-ascent1.png,"The Luna 15 vehicle rising off the pad, exhaust plumes filling the launch complex",[2]
5,static/images/inflight-images/luna-15/Luna-15-ascent2.png,"Stage separation between the first and second stage, with the interstage splitting away from the vehicle.",[2]
6,static/images/inflight-images/luna-15/Luna-15-ascent3.png,The launch vehicle rising above the North Island of New Zealand after its launch from the Mahia Peninsula.,[2]
7,static/images/inflight-images/luna-15/Luna-15-payload-deploy.png,The Luna 15 payload separates from its upper stage over South America.,[2]
8,static/images/inflight-images/luna-15/Luna-15-deep-space.png,"The Luna 15 spacecraft travelling to the Moon, looking back on Earth.",[2]
9,static/images/inflight-images/luna-15/Luna-15-moon-descent.png,The spacecraft begins its terminal approach to the lunar surface.,[2]
10,static/images/inflight-images/luna-15/Luna-15-final-approach.png,The Luna 15 spacecraft begins the last 20 seconds of its braking burn before touchdown.,[2]
11,static/images/inflight-images/luna-15/Luna-15-landed.png,"The Luna 15 spacecraft is safely on the lunar surface with the Earth in the background, the majority of its scientific mission completed.",[2]
12,static/images/inflight-images/svet-15/Svet-15-pad.png,"The Svet 15 payload atop the UR-200A rocket, moments before launch into the target orbital plane.",[3]
13,static/images/inflight-images/svet-15/Svet-15-ascent1.png,"The Svet 15 launch vehicle ascending over the space centre, all engines firing successfully.",[3]
14,static/images/inflight-images/svet-15/Svet-15-ascent2.png,"The Svet 15 launch vehicle moments after stage separation, with the first stage tumbling under the aerodynamic forces.",[3]
15,static/images/inflight-images/svet-15/Svet-15-transfer.png,The transfer stage raises the apogee to twice the geostationary altitude.,[3]
16,static/images/inflight-images/svet-15/Svet-15-payload-deploy.png,"The spacecraft, gently spinning to maintain stability, is separated from the transfer stage to begin its on-orbit operations.",[3]
17,static/images/inflight-images/luna-16/Luna-16-pad.png,"The Luna 16 spacecraft on the launch pad, awaiting clearance to launch.",[4]
18,static/images/inflight-images/luna-16/Luna-16-ascent1.png,The launch vehicle propels the spacecraft into its parking orbit. Stage separation is successful.,[4]
19,static/images/inflight-images/luna-16/Luna-16-deployment.png,"The Luna 16 spacecraft and its transfer stage flying free of the third stage, an issue with the vernier engines caused the stage to enter an uncontrolled spin, effectively ending the mission.",[4]
20,static/images/inflight-images/luna-17/Luna-17-pad.png,"The Luna 17 spacecraft rising off of the pad under the power of the UR-350A booster, powered by 3 RD-253 engines.",[5]
21,static/images/inflight-images/luna-17/Luna-17-ascent1.png,The UR-350A first stage suffers a launch failure with the first stage having one of its engines shut down ~1 minute earlier than expected.,[5]
22,static/images/inflight-images/luna-17/Luna-17-ascent2.png,"The damaged first stage falls away from the second stage, we are still orbit-bound.",[5]
23,static/images/inflight-images/luna-17/Luna-17-transfer.png,The Luna 17 spacecraft completing its transfer burn over the northern coast of Australia.,[5]
24,static/images/inflight-images/luna-17/Luna-17-cruise.png,"The Luna 17 spacecraft cruising in space, transiting to the moon, over point Nemo. This is the most remote point on Earth.",[5]
25,static/images/inflight-images/luna-17/Luna-17-lunar-approach1.png,"Luna 17 transitioning into lunar space, the lunar descent has begun.",[5]
26,static/images/inflight-images/luna-17/Luna-17-lunar-approach2.png,"Luna 17 beginning the terminal phase of its approach guidance. Should no action be taken, the spacecraft would impact the surface in minutes.",[5]
27,static/images/inflight-images/luna-17/Luna-17-braking-maneuver.png,"The Luna 17 spacecraft screaming to a halt above the lunar surface, it will reduce its velocity to 0 m/s at an altitude of 1400m.",[5]
